title,artist,album,releaseDate,albumCover,spotifyLink,intro,mood,theme,duree,type,tempo,annee
Memoria,Indochine,Black City Parade,2013,assets/covers/bcp.jpg,https://open.spotify.com/track/4tq1y99As7oCtR2RoSglGI?si=98b3976156844026,Longue,Triste,Amour,Longue,Studio,Calme,2001-2024
Miss Paramount,Indochine,Le péril jaune,1983,assets/covers/peril-jaune.jpg,https://open.spotify.com/track/1rMTBW6i4VX2TrILKo6YqZ?si=35d60c50f70448e9,Courte,Joyeuse,Amour,Standard,Studio,Rythmée,1981-2001
Monte Cristo,Indochine,3,1985,assets/covers/3.jpg,https://open.spotify.com/track/17GbyU6KGSfu1wK2MOPLCf?si=0e1b1ea8ce9941c2,Courte,Joyeuse,Autre,Moyenne,Studio,Rythmée,1981-2001
No Name,Indochine,Babel Babel,2024,assets/covers/babel.jpg,https://open.spotify.com/track/3lWj2NSHynSg0NI3uiS90S?si=e24cde9f370146ec,Longue,Joyeuse,Amour,Moyenne,Studio,Rythmée,2001-2024
Nos Célébrations,Indochine,Nos Célébrations (Single),2020,assets/covers/celebrations.jpg,https://open.spotify.com/track/6h0kUO3LKcYHH1E9yUkL4z?si=be4da005dc5041d8,Longue,Joyeuse,Autre,Longue,Studio,Rythmée,2001-2024
Paradize,Indochine,Paradize,2002,assets/covers/paradize.jpg,https://open.spotify.com/track/6TbbYOyf6BSxFiVUtAvNx0?si=b204208e188f4034,Courte,Joyeuse,Sexe,Moyenne,Studio,Rythmée,2001-2024
Pink Water 3,Indochine & Brian Molko,Alice & June,2005,assets/covers/alice-june.jpg,https://open.spotify.com/track/4ZxwglrjEHVKRNNvp0CJ76?si=230122a202974d6e,Moyenne,Triste,Autre,Longue,Studio,Calme,2001-2024
Play Boy,Indochine,La République des Météors,2009,assets/covers/meteors.jpg,https://open.spotify.com/track/0RD8rUDiaMnsxBIXqoSAjw?si=8977199305764392,Courte,Joyeuse,Sexe,Standard,Studio,Rythmée,2001-2024
Punishment Park,Indochine,Le Baiser,1990,assets/covers/baiser.jpg,https://open.spotify.com/track/5paRTsZMcQfM8HQWjIZJTh?si=a47a16466d8945df,Courte,Triste,Autre,Standard,Studio,Rythmée,1981-2001
Punker,Indochine,Paradize,2002,assets/covers/paradize.jpg,https://open.spotify.com/track/6MAAOVjqX7Oy9uRHJAYkVz?si=e34348b06dc94370,Moyenne,Joyeuse,Sexe,Standard,Studio,Rythmée,2001-2024
